Datum,Dobitek,Vrednost
30.03.2012,13,"-69.118,20"
06.04.2012,14,"-312.639,20"
20.04.2012,16,"-640.891,60"
27.04.2012,17,"-303.201,90"
11.05.2012,19,"19.536.863,80617.557,10"
18.05.2012,20,"-278.529,70"
25.05.2012,21,"-133.522,10"
08.06.2012,23,"-549.644,10"
15.06.2012,24,"-278.306,00"
22.06.2012,25,"-279.528,50"
29.06.2012,26,"-192.570,40"
06.07.2012,27,"-300.211,90"
13.07.2012,28,"-125.697,40"
20.07.2012,29,"-107.874,50"
27.07.2012,30,"-164.000,60"
03.08.2012,31,"-121.185,10"
10.08.2012,32,"-27.545.857,50"
17.08.2012,33,"-299.487,60"
24.08.2012,34,"11.265.231,4095.850,80"
31.08.2012,35,"-289.213,70"
21.09.2012,38,"-885.960,00"
28.09.2012,39,"-316.943,20"
12.10.2012,41,"-331.821,00"
26.10.2012,43,"21.320.215,00-"
02.11.2012,44,"-252.612,10"
09.11.2012,45,"-296.291,10"
30.11.2012,48,"-921.689,90"
07.12.2012,49,"-159.562,20"
14.12.2012,50,"-67.214,20"
28.12.2012,52,"-246.863,80"
04.01.2013,1,"-193.950,10"
18.01.2013,3,"-426.215,30"
25.01.2013,4,"29.540.641,50293.477,60"
01.02.2013,5,"-393.141,60"
08.02.2013,6,"-377.815,80"
15.02.2013,7,"-377.593,00"
22.02.2013,8,"-380.823,40"
08.03.2013,10,"-165.522,30"
22.03.2013,12,"-473.704,60"
29.03.2013,13,"-583.054,00"
05.04.2013,14,"-326.379,20"
12.04.2013,15,"46.079.338,80152.020,70"
19.04.2013,16,"-415.714,10"
26.04.2013,17,"-398.808,60"
03.05.2013,18,"13.486.561,1085.659,30"
17.05.2013,20,"-737.902,20"
24.05.2013,21,"-369.814,10"
31.05.2013,22,"-127.279,10"
07.06.2013,23,"-386.206,70"
14.06.2013,24,"-202.431,70"
28.06.2013,26,"-445.381,10"
05.07.2013,27,"-536.321,40"
12.07.2013,28,"-192.248,50"
19.07.2013,29,"41.522.930,1095.036,10"
26.07.2013,30,"-101.657,20"
02.08.2013,31,"-406.422,50"
16.08.2013,33,"15.541.392,00407.660,40"
23.08.2013,34,"-125.221,80"
30.08.2013,35,"-191.998,30"
13.09.2013,37,"-400.300,40"
20.09.2013,38,"-138.630,60"
27.09.2013,39,"21.256.582,4074.374,10"
04.10.2013,40,"-376.460,60"
11.10.2013,41,"-123.994,50"
18.10.2013,42,"13.308.947,80190.024,90"
01.11.2013,44,"-712.833,90"
