Datum,Stevilo,Drzava
2012-03-30,-1,- Nemčija
2012-04-06,-1,- Italija
2012-04-20,-1,- Nemčija
2012-04-27,-1,-
2012-05-11,1-1,Nemčija-Nemčija
2012-05-18,-1,- Finska
2012-05-25,-2,"- Nemčija, Danska"
2012-06-08,-1,- Italija
2012-06-15,-1,- Nemčija
2012-06-22,-1,- Nemčija
2012-06-29,-2,"- Danska, Italija"
2012-07-06,-1,- Nemčija
2012-07-13,-3,"- Nemčija 2x, Italija"
2012-07-20,-3,"- Nemčija, Finska, Italija"
2012-07-27,-2,"- Nemčija, Estonija"
2012-08-03,-3,"- Nemčija 2x, Danska"
2012-08-10,-1,- Nemčija
2012-08-17,-1,- Italija
2012-08-24,1-3,Nemčija-Nemčija 3x
2012-08-31,-1,- Finska
2012-09-21,-1,- Nemčija
2012-09-28,-1,- Nemčija
2012-10-12,-2,"- Italija, Nemčija"
2012-10-26,1-,Danska -
2012-11-02,-4,"- Danska, Nemčija 3x"
2012-11-09,-1,- Nemčija
2012-11-30,-1,- Nemčija
2012-12-07,-2,"- Nemčija, Danska"
2012-12-14,-5,"- Italija, Nemčija 3x, Španija"
2012-12-28,-3,- Italija 3x
2013-01-04,-2,- Estonija 2x
2013-01-18,-2,- Nemčija 2x
2013-01-25,1-2,Finska-Nemčija 2x
2013-02-01,-1,- Danska
2013-02-08,-1,- Nemčija
2013-02-15,-1,- Nemčija
2013-02-22,-1,- Danska
2013-03-08,-5,- Nemčija 5x
2013-03-22,-2,"- Italija, Nemčija"
2013-03-29,-1,- Nemčija
2013-04-05,-2,"- Norveška, Finska"
2013-04-12,1-5,"Nemčija-Danska, Finska 2x, Nemčija 2x"
2013-04-19,-1,- Španija
2013-04-26,-1,- Nemčija
2013-05-03,1-5,"Norveška - Nemčija-3x, Danska, Slovenija - Celje"
2013-05-17,-1,- Nemčija
2013-05-24,-1,- Finska
2013-05-31,-3,- Italija 3x
2013-06-07,-1,- Nemčija
2013-06-14,-2,"- Danska, Nemčija"
2013-06-28,-2,- Italija 2x
2013-07-05,-1,- Danska
2013-07-12,-3,"- Nemčija 2x, Slovenija (Ljubljana)"
2013-07-19,1-7,Nemčija
2013-07-26,-4,"- Latvija, Norveška, Nemčija, Slovenija (Vojnik)"
2013-08-02,-1,- Nemčija
2013-08-16,1-2,Italija- Finska 2x
2013-08-23,-3,"- Danska, Nemčija, Norveška"
2013-08-30,-2,"- Nemčija, Španija"
2013-09-13,-2,- Nemčija 2x
2013-09-20,-3,"- Nemčija, Španija, Švedska"
2013-09-27,1-6,"Finska -Danska 2x, Finska 2x, Nemčija 2x"
2013-10-04,-1,- Nemčija
2013-10-11,-3,"- Nemčija 2x, Norveška"
2013-10-18,1-2,Nemčija- Nemčija 2x
2013-11-01,-1,- Nemčija
2013-11-08,-4,"- Danska 2x, Nemčija 2x"
2013-11-22,-2,- Nemčija 2x
2013-11-29,-2,- Nemčija 2x
2013-12-06,1-2,"Slovenija (Grosuplje)- Hrvaška, Nemčija"
2013-12-13,-2,- Nemčija-2x
2013-12-20,-3,- Nemčija 3x
2014-01-03,-3,"- Danska-2x, Finska"
2014-01-10,1-4,"Hrvaška- Nemčija 3x, Finska"
2014-01-17,-3,"- Italija, Nemčija 2x"
2014-01-24,-1,- Italija
2014-01-31,-1,- Nemčija
2014-02-14,-3,"- Danska, Nemčija, Španija"
2014-02-21,-2,"- Nemčija, Danska"
2014-02-28,-3,"- Danska, Nemčija, Norveška"
2014-03-07,-1,- Nemčija
2014-03-21,-4,"- Danska 2x, Italija, Nemčija"
2014-03-28,-2,"- Finska, Nemčija"
2014-04-04,1-5,Finska- Nemčija 5x
2014-04-18,-1,- Nemčija
2014-04-25,-1,- Italija
2014-05-02,-3,"- Finska 2x, Nizozemska"
2014-05-16,1-,Slovenija - Žalec -
2014-05-23,-3,"- Finska, Italija, Nemčija"
2014-05-30,-3,"- Danska, Finska, Nemčija"
2014-06-06,-2,"- Estonija, Nemčija"
2014-06-20,1-3,"Nemčija- Danska, Nemčija-2x"
2014-07-04,-1,- Italija
2014-07-11,-2,"- Finska, Nemčija"
2014-07-18,-1,- Nemčija
2014-07-25,-3,"- Danska, Finska, Nemčija"
2014-08-01,-5,"- Nemčija 4x, Finska"
2014-08-08,-2,- Nemčija 2x
2014-08-15,-3,- Danska 3x
2014-08-22,-1,- Nemčija
2014-08-29,-2,- Nemčija-2x
2014-09-05,-1,- Italija
